time	value
2026-03-25 23:07:58.890	4.1
2026-03-25 23:08:59.495	4.8
2026-03-25 23:10:00.067	4.7
2026-03-25 23:11:00.613	4.5
2026-03-25 23:12:01.203	4.6
2026-03-25 23:13:01.863	4.5
2026-03-25 23:14:02.465	4.4
2026-03-25 23:15:03.093	4.5
2026-03-25 23:16:03.644	4.5
2026-03-25 23:17:04.236	4.6
2026-03-25 23:18:04.844	4.4
2026-03-25 23:19:05.382	4.6
2026-03-25 23:20:06.168	4.5
2026-03-25 23:21:06.820	5.0
2026-03-25 23:22:07.451	4.6
2026-03-25 23:23:08.037	5.1
2026-03-25 23:24:08.742	4.4
2026-03-25 23:25:09.339	4.9
2026-03-25 23:26:09.959	4.3
2026-03-25 23:27:10.501	4.4
2026-03-25 23:28:11.070	4.3
2026-03-25 23:29:11.626	5.1
2026-03-25 23:30:12.173	4.7
2026-03-25 23:31:12.765	4.6
2026-03-25 23:32:13.462	5.0
2026-03-25 23:33:14.106	4.8
2026-03-25 23:34:14.707	4.4
2026-03-25 23:35:15.314	4.5
2026-03-25 23:36:15.883	4.4
2026-03-25 23:37:16.441	4.6
2026-03-25 23:38:17.048	4.3
2026-03-25 23:39:17.580	5.3
2026-03-25 23:40:18.200	4.9
2026-03-25 23:41:18.822	4.3
2026-03-25 23:42:19.397	4.5
2026-03-25 23:43:20.000	4.7
2026-03-25 23:44:20.528	4.5
2026-03-25 23:45:21.105	4.4
2026-03-25 23:46:21.804	4.5
2026-03-25 23:47:22.407	4.4
2026-03-25 23:48:23.015	4.7
2026-03-25 23:49:23.574	4.6
2026-03-25 23:50:24.192	4.4
2026-03-25 23:51:24.828	4.6
2026-03-25 23:52:25.431	4.4
2026-03-25 23:53:26.026	4.4
2026-03-25 23:54:26.591	4.5
2026-03-25 23:55:27.188	4.6
2026-03-25 23:56:27.799	4.4
2026-03-25 23:57:28.365	4.5
2026-03-25 23:58:28.934	4.4
2026-03-25 23:59:29.559	4.5
2026-03-26 00:00:30.130	4.5
2026-03-26 00:01:30.750	4.7
2026-03-26 00:02:31.323	4.4
2026-03-26 00:17:12.065	4.4
2026-03-26 00:23:56.553	37.3
2026-03-26 00:42:01.855	28.7
2026-03-26 00:43:02.490	22.2
2026-03-26 00:44:03.118	22.0
2026-03-26 00:45:03.763	20.7
2026-03-26 00:46:04.380	19.2
2026-03-26 00:47:04.973	18.0
2026-03-26 00:48:05.581	17.0
2026-03-26 00:49:06.183	15.9
2026-03-26 00:50:06.777	15.8
2026-03-26 00:51:07.399	15.8
2026-03-26 00:52:08.046	15.7
2026-03-26 00:53:08.607	8.2
2026-03-26 00:54:09.157	8.6
2026-03-26 00:55:09.787	7.6
2026-03-26 00:56:10.411	7.7
2026-03-26 00:57:11.004	8.1
2026-03-26 00:58:11.589	8.0
2026-03-26 00:59:12.189	8.0
2026-03-26 01:00:12.757	8.1
2026-03-26 01:01:13.399	8.6
2026-03-26 01:02:13.995	7.9
2026-03-26 01:03:14.631	14.3
2026-03-26 01:04:15.267	8.1
2026-03-26 01:05:15.900	6.6
2026-03-26 01:06:16.454	14.0
2026-03-26 01:07:17.060	12.7
2026-03-26 01:08:17.722	5.7
2026-03-26 01:09:18.297	12.3
2026-03-26 01:10:18.914	5.7
2026-03-26 01:11:19.496	5.8
2026-03-26 01:12:20.071	5.8
2026-03-26 01:13:20.670	6.6
2026-03-26 01:14:21.203	6.8
2026-03-26 01:15:21.773	6.8
2026-03-26 01:16:22.367	5.5
2026-03-26 01:17:22.928	6.2
2026-03-26 01:18:23.563	6.4
2026-03-26 01:19:24.161	6.8
2026-03-26 01:20:24.754	8.6
2026-03-26 01:21:25.316	6.0
2026-03-26 01:22:25.899	5.2
2026-03-26 01:23:26.537	6.4
2026-03-26 01:24:27.141	12.3
2026-03-26 01:25:27.686	7.0
2026-03-26 01:26:28.279	6.0
2026-03-26 01:27:28.864	6.0
2026-03-26 01:28:29.433	6.4
2026-03-26 01:29:30.050	12.2
2026-03-26 01:30:30.594	13.1
2026-03-26 01:31:31.154	6.3
2026-03-26 01:32:31.699	6.4
2026-03-26 01:33:32.244	12.4
2026-03-26 01:34:32.833	6.5
2026-03-26 01:35:33.388	5.8
2026-03-26 01:36:34.014	7.1
2026-03-26 01:37:34.562	6.4
2026-03-26 01:38:35.154	7.5
2026-03-26 01:39:35.754	7.0
2026-03-26 01:40:36.328	6.7
2026-03-26 01:41:36.878	5.6
2026-03-26 01:59:01.668	5.1
2026-03-26 02:33:30.384	6.5
2026-03-26 02:34:31.000	6.6
2026-03-26 02:35:31.535	5.6
2026-03-26 02:36:32.119	5.1
2026-03-26 02:37:32.908	6.0
2026-03-26 02:38:33.488	6.3
2026-03-26 02:39:34.033	7.2
2026-03-26 02:40:34.629	5.3
2026-03-26 02:41:35.210	5.6
2026-03-26 02:42:35.806	6.0
2026-03-26 02:43:36.446	5.6
2026-03-26 02:44:37.112	5.7
2026-03-26 02:45:37.776	5.3
2026-03-26 02:46:38.359	5.8
2026-03-26 02:47:38.911	6.2
2026-03-26 02:48:39.534	5.4
2026-03-26 02:49:40.125	5.4
2026-03-26 02:50:40.647	5.7
2026-03-26 02:51:41.223	5.8
2026-03-26 02:52:41.760	6.0
2026-03-26 02:53:42.341	6.5
2026-03-26 02:54:42.948	5.5
2026-03-26 02:55:43.502	6.6
2026-03-26 02:56:44.060	6.2
2026-03-26 02:57:44.661	6.5
2026-03-26 02:58:45.178	5.7
2026-03-26 02:59:45.698	7.7
2026-03-26 03:00:46.272	6.2
2026-03-26 03:01:46.884	5.7
2026-03-26 03:02:47.480	5.3
2026-03-26 03:03:48.054	7.1
2026-03-26 03:04:48.614	5.5
2026-03-26 03:05:49.213	6.7
2026-03-26 03:06:49.769	6.1
